单词,美式音标,中文翻译,例句,例句翻译
upgrade,",ʌp'ɡred",v. 使升级；提升；改良品种；n. 升级；上升；上坡；adv. 往上；adj. 向上的,The hotel has recently been refurbished and upgraded.,这家酒店最近重新装修过，设施更加完善了。
numerous,'numərəs,adj. 许多的，很多的,Numerous attempts have been made to hide the truth.,为掩盖事实作了很多尝试。
apartment,ə'pɑrtmənt,n. 公寓；房间,She lives in a small apartment.,她住在一套小公寓里。
multiply,'mʌltɪplaɪ,v. 乘；使增加；使繁殖；使相乘；adv. 多样地；复合地；adj. 多层的；多样的,Children will learn to multiply in the second grade.,儿童在二年级学习乘法。
neighbourhood,nebɚˌhʊd,n. 邻近；周围；邻居关系；附近一带,Be quiet! You’ll wake up the whole neighbourhood!,安静点！ 你会把邻居全都吵醒的！
subsidy,'sʌbsədi,n. 补贴；津贴；补助金,European farmers are planning a massive demonstration against farm subsidy cuts.,欧洲的农场主们正在策划一场反对削减农场补贴的大游行。
comparison,kəm'pærɪsn,n. 比较；对照；比喻；比较关系,Her paintings invite comparison with those of the early Impressionists (= they remind you of them ) .,她的画作让人想起早期的印象派作品。
resent,rɪ'zɛnt,v. 怨恨；愤恨；厌恶,Paul resented the fact that Carol didn’t trust him.,保罗非常气愤，因为卡萝尔不信任他。
dampen,'dæmpən,v. 抑制；使…沮丧；使…潮湿,The light rain dampened the crowd’s enthusiasm.,小雨使观众的热情减退了。
retirement,rɪ'taɪɚmənt,n. 退休，退役,She took early retirement (= retired at an earlier age than usual ) last year.,她去年提前退休了。
award,ə'wɔrd,v. 授予；判定；n. 奖品；判决,Moodie has been awarded a golf scholarship at the University of Hawaii.,穆迪获授夏威夷大学高尔夫奖学金。
array,ə're,n. 数组，阵列；排列，列阵；大批，一系列；衣服；v. 排列，部署；打扮,a bewildering array of options,一大堆眼花缭乱的选择
breeze,briz,n. 微风；轻而易举的事；煤屑；焦炭渣；小风波；v. 吹微风；逃走,flowers waving in the breeze,在微风中摇曳的花儿
diagnose,",daɪəɡ'nos",v. 诊断；断定,How did they diagnose you?,他们怎么给你的诊断的？
accommodate,ə'kɑmədet,v. 容纳；使适应；供应；调解,He bought a huge house to accommodate his library.,他买了一座大房子来放他的藏书。
constitute,'kɑnstətut,v. 组成，构成；建立；任命,We must redefine what constitutes a family.,我们必须对家庭的构成重新定义。
metropolitan,",mɛtrə'pɑlɪtən",adj. 大都市的；大主教辖区的；宗主国的；n. 大城市人；大主教；宗主国的公民,a metropolitan area of South Australia,南澳大利亚的一个都市区
permeate,'pɝmɪet,v. 渗透，透过；弥漫,The smell of diesel oil permeated the air.,空气里充斥着柴油的气味。
connection,kə'nɛkʃən,n. 连接；关系；人脉；连接件,Police have so far failed to establish a connection between the two murders.,到目前为止警方尚未确定两宗凶杀案之间有关联。
bind,baɪnd,v. 结合；装订；有约束力；过紧；n. 捆绑；困境；讨厌的事情；植物的藤蔓,The monks are bound by vows of silence.,僧侣们必须遵守保持缄默的誓言。
swarm,swɔrm,v. 挤满；成群浮游；云集；n. 蜂群；一大群,Within minutes the area was swarming with officers who began searching a nearby wood.,几分钟之内这个地方挤满了警官，他们开始搜查附近的一片树林。
dramatic,drə'mætɪk,adj. 戏剧的；急剧的；引人注目的；激动人心的,A superb goal by Owen earned United a dramatic victory yesterday.,昨天欧文的一个超级入球为联队赢得了激动人心的胜利。
hesitation,",hɛzə'teʃən",n. 犹豫,After some hesitation one of them began to speak.,犹豫了一会儿之后，他们中有一个人开口了。
formal,'fɔrml,adj. 正式的；拘谨的；有条理的；n. 正式的社交活动；夜礼服,formal recognition of the reformed church,改革后的教会所获得的官方承认
contract,'kɑntrækt,v. 收缩；感染；订约；n. 合同；婚约,Metal contracts as it cools.,金属遇冷收缩。
outcome,'aʊt'kʌm,n. 结果，结局；成果,People who had heard the evidence at the trial were surprised at the outcome.,在审判过程中听过证词的人都对此结果感到吃惊。
controversial,",kɑntrə'vɝʃl",adj. 有争议的；有争论的,the controversial issue of welfare reform,福利改革这一有争议的话题
productive,prə'dʌktɪv,adj. 能生产的；生产的，生产性的；多产的；富有成效的,Most of us are more productive in the morning.,我们大多数人在早上更有效率。
severe,sɪ'vɪr,adj. 严峻的；严厉的；剧烈的；苛刻的,His injuries were quite severe.,他的伤势很严重。
strengthen,'strɛŋθn,v. 加强；巩固,Our friendship has steadily strengthened over the years.,我们的友谊逐年加深。
tempt,tɛmpt,v. 诱惑；引起；冒…的风险；使感兴趣,If you leave valuables in your car it will tempt thieves.,如果把贵重物品留在车上，会招来小偷的。
dedicate,'dɛdɪket,v. 致力；献身；题献,"For the next few years, she dedicated herself to her work.",随后的几年里，她全身心地投入工作。
indication,",ɪndɪ'keʃən",n. 指示，指出；迹象；象征,Could you give me some indication as to when I am likely to receive a reply?,你能给我透露一下什么时候我能收到回复吗？
rotate,'rotet,v. 旋转；循环；adj. [植] 辐状的,The Earth rotates on its axis once every 24 hours.,地球每24小时绕地轴自转一周。
identify,aɪ'dɛntɪfaɪ,v. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi确定；认同；一致,He was too far away to be able to identify faces.,他离得太远，没法看面孔认出谁是谁。
convention,kən'vɛnʃən,n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗,a teachers’ convention,教师大会
relieve,rɪ'liv,v. 解除，减轻；使不单调乏味；换…的班；解围；使放心,Drugs helped to relieve the pain.,药物有助于舒缓疼痛。
origin,'ɔrɪdʒɪn,n. 起源；原点；出身；开端,The tradition has its origins in the Middle Ages.,这一传统源于中世纪。
chronic,'krɑnɪk,adj. 慢性的；长期的；习惯性的；n. (Chronic)人名；(英)克罗尼克,chronic arthritis,慢性关节炎
stock,stɑk,n. 股份，股票；库存；血统；树干；家畜；adj. 存货的，常备的；平凡的；v. 进货；备有；装把手于…,We have a huge stock of quality carpets on sale.,我们备有大量优质地毯出售。
scheme,skim,n. 计划；组合；体制；诡计；v. 搞阴谋；拟订计划,The money will be used for teacher training schemes.,这笔钱将用于教师培训计划。
constrain,kən'stren,v. 驱使；强迫；束缚,Poor soil has constrained the level of crop production.,贫瘠的土地限制了农作物的产量。
alcohol,'ælkəhɔl,n. 酒精，乙醇,I don’t drink alcohol anymore.,我不再喝酒了。
triple,'trɪpl,adj. 三倍的；三方的；n. 三倍数；三个一组；v. 增至三倍,a triple murder investigation,对一宗三重谋杀案的调查
hoist,hɔɪst,n. 起重机；升起，吊起；v. 升起；吊起,a boat hoist,吊艇机
theme,θim,n. 主题；主旋律；题目；adj. 以奇想主题布置的,The book’s theme is the conflict between love and duty.,本书的主题是爱与责任之间的冲突。
standpoint,'stændpɔɪnt,n. 立场；观点,a discussion of marriage from the standpoint of women,从女性角度对婚姻的探讨
proclaim,prə'klem,v. 宣告，公布；声明；表明；赞扬,The President proclaimed the republic’s independence.,总统宣布共和国独立。
territory,'tɛrətɔri,n. 领土，领域；范围；地域；版图,Hong Kong is a Chinese territory.,香港是中国的领土。
evident,'ɛvɪdənt,adj. 明显的；明白的,Bob ate his lunch with evident enjoyment.,显然鲍勃吃午饭吃得津津有味。
arbitrary,ˈɑːrbətreri,adj. [数] 任意的；武断的；专制的,an arbitrary decision,武断的决定
peculiarity,pɪ'kjʊlɪ'ærəti,n. 特性；特质；怪癖；奇特,Margaret regarded her mother’s peculiarities with a fond tolerance.,玛格丽特宽容地看待母亲的怪癖。
optional,'ɑpʃənl,adj. 可选择的，随意的；n. 选修科目,three optional courses,三门选修课
minority,maɪ'nɔrəti,n. 少数民族；少数派；未成年；adj. 少数的；属于少数派的,Gaelic is still spoken in Ireland by a tiny minority.,爱尔兰仍有极少数人在说盖尔语。
ridiculous,rɪ'dɪkjələs,adj. 可笑的；荒谬的,That’s a ridiculous idea!,那主意很荒唐！
argument,'ɑrɡjumənt,n. 论证；论据；争吵；内容提要,We need to provide a convincing argument as to why the system should be changed.,我们得提出有说服力的论据，证明为何要改变体制。
heal,hil,v. 治愈，痊愈；和解；n. (Heal)人名；(英)希尔,a preacher who claims that he can heal the sick,自称可以治病的传道士
expert,"'ɛkspɝt; (for adj., also) ɛksˈpɝt ; ɪkˈspɝt",adj. 熟练的；内行的；老练的；n. 专家；行家；能手；vt. 当专家；在…中当行家,He cast his expert eye on the gardener’s work.,他用内行的眼光看了看园丁干的活。
conform,kən'fɔrm,v. 符合；遵照；适应环境；adj. 一致的；顺从的,Joseph does not conform to the stereotype of a policeman.,约瑟夫不同于人们一般印象中的警察形象。
respond,rɪ'spɑnd,v. 回答；作出反应；承担责任；n. 应答；唱和,They are likely to respond positively to the president's request for aid.,他们有可能积极地回应该总统的援助请求。
flash,flæʃ,v. 使闪光；反射；n. 闪光，闪现；一瞬间；adj. 闪光的，火速的,Lightning flashed overhead.,头顶上电光闪闪。
contact,'kɑntækt,n. 接触，联系；v. 使接触，联系,The town is cut off from contact with the outside world.,小镇与外界的联系被切断了。
mood,mud,n. 情绪，语气；心境；气氛,You’re in a good mood this morning!,你今天早晨心情不错啊！
realm,rɛlm,n. 领域，范围；王国,the spiritual realm,精神领域
sparkle,'spɑrkl,n. 闪耀；火花；活力；v. 使闪耀；使发光,the sparkle of the diamonds,钻石的光芒
optimistic,",ɑptɪ'mɪstɪk",adj. 乐观的；乐观主义的,Andrew took a more optimistic view.,安德鲁抱有更为乐观的想法。
ingredient,ɪn'ɡridɪənt,n. 原料；要素；组成部分；adj. 构成组成部分的,Combine all the ingredients in a large bowl.,把所有食材都放在一个大碗里。
handle,'hændl,n. [建] 把手；柄；手感；口实；v. 处理；操作；运用；买卖；触摸,Then he turned the handle and went in.,然后他转动把手走了进去。
compatible,kəm'pætəbl,adj. 兼容的；能共处的；可并立的,The new software is IBM compatible (= can be used with IBM computers ) .,这个新软件与IBM的计算机兼容。
accelerate,əkˈsɛləˌret,v. 使……加快；使……增速,measures to accelerate the rate of economic growth,加快经济增长速度的措施
bald,bɔld,adj. 秃顶的；光秃的；单调的；无装饰的；v. 变秃；n. (Bald)人名；(英)鲍尔德；(德、法、波)巴尔德,a bald man,一名秃顶男子
compress,kəm'prɛs,v. 受压缩小,"Light silk is best for parachutes, as it compresses well and then expands rapidly.",轻质丝绸最适合制作降落伞，因为这种面料便于压缩，而且展开迅速。
union,'junɪən,n. 联盟，协会；工会；联合,Are you planning to join the union?,你打算加入工会吗？
commerce,'kɑmɝs,n. 贸易；商业；商务,measures promoting local commerce and industry,促进地方工商业发展的措施
distinguish,dɪ'stɪŋɡwɪʃ,v. 区分；辨别；使杰出，使表现突出,The light was too dim for me to distinguish anything clearly.,光线太暗，我什么也看不清。
probe,prob,n. 探针；调查；v. 调查；探测,a police corruption probe,对警察贪污行为的彻底调查
justify,'dʒʌstə'fai,v. 证明合法；整理版面,No argument can justify a war.,没有任何理由能证明一个战争有理。
aggressor,ə'ɡrɛsɚ,n. 侵略者；侵略国；挑衅者,measures taken to deter potential aggressors,阻止潜在侵略者的措施
slump,slʌmp,v. 下降，衰落；倒下；大幅度下降，暴跌；n. 衰退；暴跌；消沉,Sales slumped by 20% last year.,去年销售额骤减 20%。
rental,'rɛntl,n. 租金收入，租金；租赁；adj. 租赁的；收取租金的,Video rental is usually £3.,录像带的租金通常是3英镑。
routine,rʊ'tin,n. [计] 程序；日常工作；例行公事；adj. 日常的；例行的,John’s departure had upset their daily routine .,约翰的离去打乱了他们的日常生活。
